launch,partner,category,shape,title,handle,score,partner_rank,price_usd,colour,family,why,exclude,collections,created
wave1-A,carat,earrings,round,Round Cut Diamond Stud Earrings,rose-gold-diamond-stud-earrings,56,6,218,,stud earrings,earring demand +20; partner best-seller \#6 +30,,earrings,
wave1-A,carat,earrings,round,Stud Round Cut Diamond Earrings,stud-round-cut-diamond-earrings,56,7,371,,stud earrings,earring demand +20; partner best-seller \#7 +30,,earrings,
wave1-A,carat,earrings,marquise,Marquise And Round Diamond Butterfly Stud Earrings,marquise-and-round-diamond-butterfly-stud-earrings,48,25,386,,and butterfly stud earrings,earring demand +20; partner best-seller \#25 +22,,earrings,
wave1-A,carat,earrings,round,Round Cut Open Circle Diamond Earrings,open-circle-diamond-earrings-in-white-gold,46,4,357,,open circle earrings,earring demand +10; partner best-seller \#4 +30,,earrings,
wave1-A,carat,earrings,round,Round Cut Diamond Cross Earrings,round-cut-diamond-cross-earrings,46,5,280,,cross earrings,earring demand +10; partner best-seller \#5 +30,,earrings,
wave1-B,carat,earrings,round,Aries Earrings with Round Cut Halo Stud Style,aries-earrings-with-round-cut-halo-stud-style,42,26,371,,aries earrings with halo stud style,halo +2; earring demand +20; partner best-seller \#26 +14,,earrings,
wave1-A,carat,earrings,marquise,Marquise Earrings - Yellow Gold,buy-marquise-earrings,40,14,91,,earrings yellow,earring demand +10; partner best-seller \#14 +22,,earrings,
wave1-A,carat,earrings,oval,Oval Diamond Earrings with Yellow Gold Sparkle,oval-diamond-earrings-yellow-gold,40,16,224,,earrings with yellow sparkle,earring demand +10; partner best-seller \#16 +22,,earrings,
wave1-B,carat,earrings,round,Zig Zag Round Diamond Stud Earrings,zig-zag-round-diamond-stud-earrings,40,33,462,,zig zag stud earrings,earring demand +20; partner best-seller \#33 +14,,earrings,
wave1-B,carat,earrings,marquise,Flower Stud Marquise Cut Diamond Earrings,flower-stud-marquise-cut-diamond-earrings,40,36,406,,flower stud earrings,earring demand +20; partner best-seller \#36 +14,,earrings,
wave1-B,carat,earrings,round,Round Cut Diamond Flower Stud Earrings,round-cut-diamond-flower-stud-earrings,40,37,421,,flower stud earrings,earring demand +20; partner best-seller \#37 +14,,earrings,
wave1-B,carat,earrings,round,Round Diamond Rose Gold Stud Earrings,round-diamond-rose-gold-stud-earrings,40,48,218,,rose stud earrings,earring demand +20; partner best-seller \#48 +14,,earrings,
wave1-B,carat,earrings,round,Round Diamond Stud Earrings In White Gold,round-diamond-stud-earrings,40,49,379,,stud earrings white,earring demand +20; partner best-seller \#49 +14,,earrings,
wave1-B,carat,earrings,round,White Gold Stud Earrings With Round Diamond,white-gold-stud-earrings-round-diamond,40,50,357,,white stud earrings with,earring demand +20; partner best-seller \#50 +14,,earrings,
wave1-A,carat,earrings,marquise,Marquise Diamond Earrings in Elegant Prong Style,marquise-diamond-earrings-in-elegant-prong-style,38,15,406,,earrings elegant prong style,earring demand +10; partner best-seller \#15 +22,,earrings,
wave1-A,carat,earrings,marquise,Marquise Diamond Earrings,marquise-diamond-earrings,38,19,230,,earrings,earring demand +10; partner best-seller \#19 +22,,earrings,
wave1-A,carat,earrings,emerald,Emerald Cut Earrings,emerald-cut-earrings,38,21,182,,earrings,earring demand +10; partner best-seller \#21 +22,,earrings,
wave1-A,carat,earrings,round,Round Cut Flower Shaped Diamond Earrings,round-cut-flower-shaped-diamond-earrings,38,23,329,,flower shaped earrings,earring demand +10; partner best-seller \#23 +22,,earrings,
wave1-B,carat,earrings,other,Taurus Earrings Stud In Halo Style,taurus-earrings-stud-in-halo-style,36,27,364,,taurus earrings stud halo style,halo +2; earring demand +20; partner best-seller \#27 +14,,earrings,
wave1-A,carat,earrings,portuguese,Green Portuguese Cut Diamond Earrings in Push Back,green-portuguese-cut-diamond-earrings-in-push-back,34,22,2423,green,green portuguese earrings push back,earring demand +10; partner best-seller \#22 +22; fancy colour green,,earrings,
wave1-B,pooja,earrings,round,1 To 3 CT Classic Round Shape Lab Diamond Bezel Stud Earrings – 10K/14K/18K Gold,1-to-3-ct-classic-round-shape-lab-diamond-bezel-stud-earrings-10k-14k-18k-gold-pooja-diamond-igi-certified-lab-diamond,38,,650,,classic lab bezel stud earrings,bezel +10; earring demand +20,,lab-grown-diamond-studs,2026-02-02
wave1-B,pooja,earrings,pear,1 To 3 CT Classic Pear Shape Lab Diamond Bezel Stud Earrings – 10K/14K/18K Gold,1-to-3-ct-classic-pear-shape-lab-diamond-bezel-stud-earrings-10k-14k-18k-gold-pooja-diamond-igi-certified-lab-diamond,38,,650,,classic lab bezel stud earrings,bezel +10; earring demand +20,,lab-grown-diamond-studs,2026-02-02
wave1-B,pooja,earrings,emerald,1 To 3 CT Classic Emerald Shape Lab Diamond Bezel Stud Earrings – 10K/14K/18K Gold,1-to-3-ct-classic-emerald-shape-lab-diamond-bezel-stud-earrings-10k-14k-18k-gold-pooja-diamond-igi-certified-lab-diamond,38,,650,,classic lab bezel stud earrings,bezel +10; earring demand +20,,lab-grown-diamond-studs,2026-02-02
wave1-B,pooja,earrings,round,1 To 3 CT Classic Bezel-Set Lab Grown Round Diamond Stud Earrings in 10K/14K/18K Gold,1-to-3-ct-classic-bezel-set-lab-grown-round-diamond-stud-earrings-in-10k-14k-18k-gold-pooja-diamond-igi-certified-lab-diamond,38,,650,,classic bezel set stud earrings,bezel +10; earring demand +20,,lab-grown-diamond-studs,2026-02-02
wave1-B,pooja,earrings,round,Round Cut Lab Grown Diamond Stud Earrings in Gold,round-cut-lab-grown-diamond-stud-earrings-in-gold,36,,900,,stud earrings,bezel +10; earring demand +20,,lab-grown-diamond-studs,2025-12-11
wave1-B,pooja,earrings,pear,Pear Cut Lab Grown Diamond Stud Earrings in Gold,pear-cut-lab-grown-diamond-stud-earrings-in-gold,36,,900,,stud earrings,bezel +10; earring demand +20,,lab-grown-diamond-studs,2025-12-11
wave1-B,pooja,earrings,oval,Oval Cut Lab Grown Diamond Stud Earrings in Gold,oval-cut-lab-grown-diamond-stud-earrings-in-gold,36,,900,,stud earrings,bezel +10; earring demand +20,,lab-grown-diamond-studs,2025-12-11
wave1-B,pooja,earrings,marquise,Marquise Cut Lab Grown Diamond Stud Earrings in Gold,marquise-cut-lab-grown-diamond-stud-earrings-in-gold,36,,900,,stud earrings,bezel +10; earring demand +20,,lab-grown-diamond-studs,2025-12-11
wave1-B,pooja,earrings,emerald,Emerald Cut Lab Grown Diamond Stud Earrings in Gold,emerald-cut-lab-grown-diamond-stud-earrings-in-gold,36,,900,,stud earrings,bezel +10; earring demand +20,,lab-grown-diamond-studs,2025-12-11
wave1-B,pooja,earrings,heart,1 To 3 CT Classic Heart Shape Lab Diamond Bezel Stud Earrings – 10K/14K/18K Gold,1-to-3-ct-classic-heart-shape-lab-diamond-bezel-stud-earrings-10k-14k-18k-gold-pooja-diamond-igi-certified-lab-diamond,32,,650,,classic lab bezel stud earrings,bezel +10; earring demand +20,,lab-grown-diamond-studs,2026-02-02
wave1-B,pooja,earrings,round,1 To 3 CT Compass Point Lab Grown Round Diamond Drop Earrings in 10K/14K/18K White Gold,1-to-3-ct-compass-point-lab-grown-round-diamond-drop-earrings-in-10k-14k-18k-white-gold-pooja-diamond-igi-certified-lab-diamond,32,,700,,compass point drop earrings white,compass +4; earring demand +20,,lab-grown-diamond-studs,2026-02-02
wave1-B,pooja,earrings,emerald,1 To 3 CT Classic Halo Lab Grown Emerald Diamond Stud Earrings in 10K/14K/18K White Gold,1-to-3-ct-classic-halo-lab-grown-emerald-diamond-stud-earrings-in-10k-14k-18k-gold-pooja-diamond-igi-certified-lab-diamond,30,,700,,classic halo stud earrings white,halo +2; earring demand +20,,lab-grown-diamond-studs,2026-02-02
wave1-A,carat,pendant,marquise,Solitaire Style Marquise Diamond Pendant,solitaire-style-marquise-diamond-pendant,54,6,428,,solitaire style pendant,solitaire +6; pendant demand +18; partner best-seller \#6 +30,,pendants,
wave1-A,carat,pendant,emerald,Emerald Cut Pendant With Solitaire style,solitaire-emerald-cut-pendant-in-white-gold,54,7,428,,pendant with solitaire style,solitaire +6; pendant demand +18; partner best-seller \#7 +30,,pendants,
wave1-A,carat,pendant,other,White Gold Diamond Pendant with Solitaire Style,white-gold-diamond-pendant-with-solitaire-style,46,12,288,,white pendant with solitaire style,solitaire +6; pendant demand +18; partner best-seller \#12 +22,,pendants,
wave1-A,carat,pendant,round,Round Diamond Pendant In Solitaire Setting,round-diamond-pendant-in-solitaire-setting,46,16,428,,pendant solitaire setting,solitaire +6; pendant demand +18; partner best-seller \#16 +22,,pendants,
wave1-A,carat,pendant,princess,Princess Cut Diamond Pendant In Solitaire Style,princess-cut-diamond-pendant-in-solitaire-setting,46,17,428,,pendant solitaire style,solitaire +6; pendant demand +18; partner best-seller \#17 +22,,pendants,
wave1-A,carat,pendant,pear,Pear Diamond Pendant In Solitaire Style,pear-diamond-pendant-in-solitaire-style,46,19,428,,pendant solitaire style,solitaire +6; pendant demand +18; partner best-seller \#19 +22,,pendants,
wave1-A,carat,pendant,cushion,Cushion Cut Solitaire Diamond Pendant With Claw Prong,cushion-cut-solitaire-diamond-pendant-with-claw-prong,46,20,428,,solitaire pendant with claw prong,solitaire +6; pendant demand +18; partner best-seller \#20 +22,,pendants,
wave1-A,carat,pendant,round,Round Diamond Moon Pendant In Yellow Gold,round-diamond-moon-pendant-in-yellow-gold,44,4,218,,moon pendant yellow,pendant demand +12; partner best-seller \#4 +30,,pendants,
wave1-A,carat,pendant,other,Halo Design Libra Pendant In White Gold,halo-design-libra-pendant-in-white-gold,44,8,409,,halo design libra pendant white,halo +2; pendant demand +12; partner best-seller \#8 +30,,pendants,
wave1-A,carat,pendant,other,Halo Style Taurus Pendant In Rose Gold,halo-style-taurus-pendant-in-rose-gold,44,9,428,,halo style taurus pendant rose,halo +2; pendant demand +12; partner best-seller \#9 +30,,pendants,
wave1-A,carat,pendant,marquise,Cross Marquise Diamond Pendant with round in Bunny Ear,round-and-marquise-diamond-pendant-in-sweden-cross-style,42,3,322,,cross pendant with bunny ear,pendant demand +12; partner best-seller \#3 +30,,pendants,
wave1-A,carat,pendant,oval,Oval Diamond Pendant With Four Claw prong,oval-diamond-pendant-with-four-claw-prong,40,2,428,,pendant with four claw prong,pendant demand +10; partner best-seller \#2 +30,,pendants,
wave1-A,carat,pendant,radiant,Radiant Cut Pendant Set In Four Claw Prong,radiant-cut-pendant-set-in-four-claw-prong,40,5,428,,pendant set four claw prong,pendant demand +10; partner best-seller \#5 +30,,pendants,
wave1-A,carat,pendant,round,Classic Cross Round Diamond Pendant in Infinite style,round-cut-diamond-cross-pendant,34,15,224,,classic cross pendant infinite style,pendant demand +12; partner best-seller \#15 +22,,pendants,
wave1-A,carat,pendant,round,Round Diamond Gold Saturn Pendant,round-diamond-gold-saturn-pendant,32,11,329,,saturn pendant,pendant demand +10; partner best-seller \#11 +22,,pendants,
wave1-A,carat,pendant,round,Palm Tree Pendant with Round Lab Grown Diamond in Tropical Style,palm-tree-pendant-with-round-lab-grown-diamond-in-tropical-style,32,13,266,,palm tree pendant with tropical style,pendant demand +10; partner best-seller \#13 +22,,pendants,
wave1-A,carat,pendant,asscher,Asscher Cut Diamond Pendant With Claw Prong Setting,white-gold-asscher-cut-diamond-pendant,32,18,428,,pendant with claw prong setting,pendant demand +10; partner best-seller \#18 +22,,pendants,
wave1-B,carat,pendant,cushion,Cushion Cut Solitaire Diamond Pendant,cushion-cut-solitaire-diamond-pendant,30,54,288,,solitaire pendant,solitaire +6; pendant demand +18; partner best-seller \#54 +6,,pendants,
wave1-A,carat,ring,oval,Vintage Art Deco Oval Cut Diamond Ring,vintage-art-deco-oval-cut-diamond-ring,64,6,1022,,vintage art deco,oval +22; vintage +6; art deco +6; partner best-seller \#6 +30,,popular-engagement-rings,
wave1-A,carat,ring,oval,Solitaire Oval Cut Diamond Ring in East to West Setting,solitaire-oval-cut-diamond-ring-in-east-to-west-setting,58,20,770,,solitaire east to west setting,oval +22; east to west +8; solitaire +6; partner best-seller \#20 +22,,popular-engagement-rings,
wave1-A,carat,ring,marquise,Marquise Cut Vintage Diamond Ring with Filigree Details,marquise-cut-vintage-diamond-ring-with-filigree-details,55,3,770,,vintage with filigree details,marquise +14; vintage +6; filigree +5; partner best-seller \#3 +30,,popular-engagement-rings,
wave1-A,carat,ring,marquise,Dutch Marquise Engagement Ring with Hidden Filigree Detailing,dutch-marquise-engagement-ring-with-hidden-filigree-detailing,53,7,1002,,dutch engagement with hidden filigree detailing,marquise +14; hidden +4; filigree +5; partner best-seller \#7 +30,,popular-engagement-rings,
wave1-A,carat,ring,marquise,Nature Inspired Marquise Diamond Ring with Secure Leaf Style Prong,nature-inspired-marquise-diamond-ring-with-secure-leaf-style-prong,52,2,617,,nature inspired with secure leaf style prong,marquise +14; nature inspired +5; leaf +3; partner best-seller \#2 +30,,popular-engagement-rings,
wave1-A,carat,ring,oval,Nature Inspired Oval Diamond Ring with Leaf Style Prong Setting,nature-inspired-oval-diamond-ring-with-leaf-style-prong-setting,52,11,785,,nature inspired with leaf style prong setting,oval +22; nature inspired +5; leaf +3; partner best-seller \#11 +22,,popular-engagement-rings,
wave1-A,carat,ring,oval,Oval Bezel Engagement Ring with Milgrain,oval-bezel-engagement-ring-with-milgrain,51,33,1071,,bezel engagement with milgrain,oval +22; bezel +10; milgrain +5; partner best-seller \#33 +14,,popular-engagement-rings,
wave1-A,carat,ring,marquise,Dutch Marquise Vintage Diamond Engagement Ring,dutch-marquise-vintage-diamond-engagement-ring,50,1,1142,,dutch vintage engagement,marquise +14; vintage +6; partner best-seller \#1 +30,,popular-engagement-rings,
wave1-A,carat,ring,marquise,1 - 5 Carat Dutch Marquise Ring in Milgrain Setting,1-3-ct-dutch-marquise-ring-in-milgrain-setting,49,4,1390,,carat dutch milgrain setting,marquise +14; milgrain +5; partner best-seller \#4 +30,,popular-engagement-rings,
wave1-A,carat,ring,marquise,Dutch Marquise Diamond Ring with Hand Engraved Filigree Design,dutch-marquise-diamond-ring-with-hand-engraved-filigree-design,49,5,1036,,dutch with hand engraved filigree design,marquise +14; filigree +5; partner best-seller \#5 +30,,popular-engagement-rings,
wave1-A,carat,ring,marquise,Nature Inspired Dutch Marquise Engagement Ring in Sunflower Design,nature-inspired-dutch-marquise-engagement-ring-in-sunflower-design,49,8,736,,nature inspired dutch engagement sunflower design,marquise +14; nature inspired +5; partner best-seller \#8 +30,,popular-engagement-rings,
wave1-A,carat,ring,marquise,Muse Style Marquise Diamond Ring With Tulip Setting,muse-style-marquise-diamond-ring-with-tulip-setting,48,10,778,,muse style with tulip setting,marquise +14; tulip +4; partner best-seller \#10 +30,,popular-engagement-rings,
wave1-A,carat,ring,marquise,Art Deco Dutch Marquise Ring in Milgrain Details,art-deco-dutch-marquise-ring-in-milgrain-details,47,13,1029,,art deco dutch milgrain details,marquise +14; art deco +6; milgrain +5; partner best-seller \#13 +22,,popular-engagement-rings,
wave1-A,carat,ring,pear,Pear Diamond Nature Inspired Engagement Ring in Filigree style,pear-diamond-nature-inspired-engagement-ring-in-filigree-style,46,18,778,,nature inspired engagement filigree style,pear +14; filigree +5; nature inspired +5; partner best-seller \#18 +22,,popular-engagement-rings,
wave1-A,carat,ring,marquise,Dutch Marquise Ring with Kite and Round Side Stones,dutch-marquise-ring-with-kite-and-round-side-stones,44,9,1169,,dutch with kite and side stones,marquise +14; partner best-seller \#9 +30,,popular-engagement-rings,
wave1-B,carat,ring,oval,Oval Diamond Ring with Solitaire Setting,oval-diamond-ring-with-solitaire-setting,42,37,1002,,with solitaire setting,oval +22; solitaire +6; partner best-seller \#37 +14,,popular-engagement-rings,
wave1-B,carat,ring,oval,Vintage Oval Diamond Ring with Six Claw Prong Setting,vintage-oval-diamond-ring-with-six-claw-prong-setting,42,39,938,,vintage with six claw prong setting,oval +22; vintage +6; partner best-seller \#39 +14,,popular-engagement-rings,
wave1-A,carat,ring,marquise,Marquise Cut Diamond Ring with Hidden Flower Crown,marquise-cut-diamond-ring-with-hidden-flower-crown,40,12,973,,with hidden flower crown,marquise +14; hidden +4; partner best-seller \#12 +22,,popular-engagement-rings,
wave1-A,carat,ring,marquise,Dutch Marquise Diamond Ring with Autumn Leaf Style Prongs,dutch-marquise-diamond-ring-with-autumn-leaf-style-prongs,39,14,1022,,dutch with autumn leaf style prongs,marquise +14; leaf +3; partner best-seller \#14 +22,,popular-engagement-rings,
wave1-A,carat,ring,old-euro,Oval Cut Nature Inspired Engagement Ring In Euro Shank,oval-cut-nature-inspired-engagement-ring-in-euro-shank,39,16,869,,nature inspired engagement shank,old-euro +12; nature inspired +5; partner best-seller \#16 +22,,popular-engagement-rings,
wave1-B,carat,ring,emerald,Hand Engraved Nature Inspired Emerald Diamond Ring,hand-engraved-nature-inspired-emerald-diamond-ring,35,29,756,,hand engraved nature inspired,emerald +16; nature inspired +5; partner best-seller \#29 +14,,popular-engagement-rings,
wave1-B,carat,ring,round,Round Diamond Earrings Featuring Rose Gold,round-diamond-earrings-featuring-rose-gold,26,60,997,,earrings featuring rose,round +20; partner best-seller \#60 +6,,earrings,
wave1-A,junerings,ring,oval,Marlow || East-West Oval,marlow-east-west-oval,68,10,,,marlow east west,oval +22; east west +8; east-west +8; partner best-seller \#10 +30,,shop-all-engagement-1,
wave1-A,junerings,ring,emerald,Diamond Dusk,art-deco-emerald-bezel,62,6,,,dusk,emerald +16; bezel +10; art deco +6; partner best-seller \#6 +30,,antique-cuts/shop-all-engagement-1,
wave1-A,junerings,ring,oval,June Bezel || Oval,june-bezel-oval,62,6,,,june bezel,oval +22; bezel +10; partner best-seller \#6 +30,,shop-all-engagement-1,
wave1-A,junerings,ring,emerald,June Bezel | Antique Cut || Portrait Emerald,june-bezel-antique-cut-portrait,62,10,,,june bezel antique portrait,emerald +16; bezel +10; antique +6; partner best-seller \#10 +30,,antique-cuts,
wave1-A,junerings,ring,pear,Marlow || East-West Pear,marlow-east-west-pear,60,4,,,marlow east west,pear +14; east west +8; east-west +8; partner best-seller \#4 +30,,shop-all-engagement-1,
wave1-A,junerings,ring,elongated-cushion,Fleur | Antique Cut || Old Mine Elongated Cushion,antique-cut-fleur-old-mine-elongated-cushion,58,3,,,fleur antique,elongated-cushion +18; antique +6; old mine +4; partner best-seller \#3 +30,,antique-cuts/shop-all-engagement-1,
wave1-A,junerings,ring,oval,Fleur | Antique Cut || Oval,antique-cut-fleur-oval,58,8,,,fleur antique,oval +22; antique +6; partner best-seller \#8 +30,,antique-cuts,
wave1-A,junerings,ring,emerald,Maren || Portrait Emerald,portrait-bezel-emerald,56,4,,,maren portrait,emerald +16; bezel +10; partner best-seller \#4 +30,,antique-cuts/shop-all-engagement-1,
wave1-A,junerings,ring,elongated-cushion,June Bezel | Antique Cut Elongated Cushion,june-bezel-antique-cut-elongated-cushion,56,11,,,june bezel antique,elongated-cushion +18; bezel +10; antique +6; partner best-seller \#11 +22,,antique-cuts/shop-all-engagement-1,
wave1-A,junerings,ring,oval,Lea || 3.00 ct Oval Diamond,lea-green-oval-copy,54,3,,green,lea ct,oval +22; partner best-seller \#3 +30; fancy colour green,,shop-all-engagement-1,
wave1-A,junerings,ring,elongated-cushion,Cove | Antique Elongated Cushion,cove-antique-elongated-cushion,54,7,,,cove antique,elongated-cushion +18; antique +6; partner best-seller \#7 +30,,antique-cuts/shop-all-engagement-1,
wave1-A,junerings,ring,oval,Fleur || Oval,fleur-oval,52,1,,,fleur,oval +22; partner best-seller \#1 +30,,shop-all-engagement-1,
wave1-A,junerings,ring,oval,Caraway || Oval,copy-of-caraway-oval-1,52,7,,,caraway,oval +22; partner best-seller \#7 +30,,shop-all-engagement-1,
wave1-A,junerings,ring,oval,Laurel || Oval,laurel-oval,52,8,,,laurel,oval +22; partner best-seller \#8 +30,,shop-all-engagement-1,
wave1-A,junerings,ring,old-mine,June Solitaire | Antique Cut || Elongated Old Mine,june-antique-cut-solitaire-old-mine-elongated-cushion,52,12,,,june solitaire antique,old-mine +14; solitaire +6; antique +6; old mine +4; partner best-seller \#12 +22,,antique-cuts/shop-all-engagement-1,
wave1-A,junerings,ring,radiant,Senna || East-West Radiant,senna-east-west-radiant,52,20,,,senna east west,radiant +14; east west +8; east-west +8; partner best-seller \#20 +22,,shop-all-engagement-1,
wave1-A,junerings,ring,round,Wells || Round Rose Cut,wells-rose-cut,50,9,,,wells rose,round +20; partner best-seller \#9 +30,,antique-cuts,
wave1-A,junerings,ring,oval,June Solitaire || Oval,june-solitaire-oval,50,12,,,june solitaire,oval +22; solitaire +6; partner best-seller \#12 +22,,shop-all-engagement-1,
wave1-A,junerings,ring,elongated-cushion,Dove || Elongated Cushion,irving-elongated-cushion,48,1,,,dove,elongated-cushion +18; partner best-seller \#1 +30,,antique-cuts/shop-all-engagement-1,
wave1-A,junerings,ring,emerald,Iris || Emerald,iris-emerald,46,2,,,iris,emerald +16; partner best-seller \#2 +30,,shop-all-engagement-1,
wave1-A,junerings,ring,oval,Lea || Champagne Oval,lea-champagne-oval,46,14,,champagne,lea champagne,oval +22; partner best-seller \#14 +22; fancy colour champagne,,antique-cuts/shop-all-engagement-1,
wave1-A,junerings,ring,old-mine,Surry | Antique Cut Old Mine Cushion,surry-antique-cut-elongated-cushion,46,18,,,surry antique,old-mine +14; antique +6; old mine +4; partner best-seller \#18 +22,,antique-cuts,
wave1-A,junerings,ring,old-mine,Lea || Old Mine Cushion Diamond,lea-antique-cushion-diamond,46,24,,,lea,old-mine +14; antique +6; old mine +4; partner best-seller \#24 +22,,antique-cuts/shop-all-engagement-1,
wave1-A,junerings,ring,pear,Dahlia || Pear,dahlia-pear,44,2,,,dahlia,pear +14; partner best-seller \#2 +30,,antique-cuts,
wave1-A,junerings,ring,marquise,Dahlia || Marquise,dahlia-marquise-2,44,5,,,dahlia,marquise +14; partner best-seller \#5 +30,,shop-all-engagement-1,
wave1-A,junerings,ring,marquise,Zinnia || East-West Marquise,zinnia-marquise,44,14,,,zinnia east west,marquise +14; east-west +8; partner best-seller \#14 +22,,shop-all-engagement-1,
wave1-A,junerings,ring,oval,Dawn || Oval,dawn-oval,44,15,,,dawn,oval +22; partner best-seller \#15 +22,,shop-all-engagement-1,
wave1-A,junerings,ring,oval,Isle || Oval,isle-oval,44,17,,,isle,oval +22; partner best-seller \#17 +22,,antique-cuts/shop-all-engagement-1,
wave1-A,junerings,ring,oval,Iris || Oval,iris-oval-2,44,24,,,iris,oval +22; partner best-seller \#24 +22,,shop-all-engagement-1,
wave1-A,junerings,ring,emerald,Champagne Maren || Portrait emerald,champagne-maren-portrait-emerald,40,15,,champagne,champagne maren portrait,emerald +16; partner best-seller \#15 +22; fancy colour champagne,,antique-cuts/shop-all-engagement-1,
wave1-A,junerings,ring,elongated-cushion,Eddy || Elongated Cushion,eddy-elongated-cushion,40,16,,,eddy,elongated-cushion +18; partner best-seller \#16 +22,,antique-cuts,
wave1-A,junerings,ring,emerald,Lark || Emerald,lark-emerald,38,13,,,lark,emerald +16; partner best-seller \#13 +22,,shop-all-engagement-1,
wave1-A,junerings,ring,emerald,Cassia || Emerald,emerald-cassia,38,18,,,cassia,emerald +16; partner best-seller \#18 +22,,shop-all-engagement-1,
wave1-A,junerings,ring,emerald,Eddy | Old Cut Emerald,eddy-old-cut-emerald,38,23,,,eddy old,emerald +16; partner best-seller \#23 +22,,antique-cuts/shop-all-engagement-1,
